path,programName,sourceSha256,firstBlockingFamily,latentFamilyUnderProfileProbe,firstBlockingStage,frontendState,frontendExit,lowerState,lowerExit,cfgState,dependencyState,spVersion,spObserved,spPartial,spUnsupported,entryInventory,storageGapCodes,unresolvedDependencyOccurrences,unresolvedDependencyNames,rawDirectory
app/app-vsam-mq/cbl/COACCT01.cbl,COACCT01,92776ed2801da1148839a9ed98b6537de4b41e0c7f050c8dcaae0d4e4ea543b5,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,205,168,32,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,6,CMQGMOV|CMQMDV|CMQODV|CMQPMOV|CMQTML|CMQV,programs/app/app-vsam-mq/cbl/COACCT01.cbl
app/app-vsam-mq/cbl/CODATE01.cbl,CODATE01,97fcba3faa272c98778eb7ef50ef87faec7290168e24a9b1714996453d660ddb,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,182,147,30,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,6,CMQGMOV|CMQMDV|CMQODV|CMQPMOV|CMQTML|CMQV,programs/app/app-vsam-mq/cbl/CODATE01.cbl
app/cbl/CBACT01C.cbl,CBACT01C,f8eb6e3a561ff96a1889a8f777a8998850a11dddae221da2c5018067d7b95551,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,190,149,39,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/app/cbl/CBACT01C.cbl
app/cbl/CBACT02C.cbl,CBACT02C,d290cbbbec1e25859847d9dfe6b28040cd6b09c3b71747e39de7b4713d838e76,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,63,47,14,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/app/cbl/CBACT02C.cbl
app/cbl/CBACT03C.cbl,CBACT03C,ee1019bc3ef7bc4e0f807b6e9b7167c9386ee7c2f647c63dfddc6fc464487855,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,64,48,14,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/app/cbl/CBACT03C.cbl
app/cbl/CBACT04C.cbl,CBACT04C,5084bb8b0c9a0f0199f737487ae1863f12e43cabbdc459a62b6b67bedc683cc4,F4_STORAGE_PROFILE_UNSELECTED,F7_AIR_DANGLING_LABEL,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,294,222,66,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/app/cbl/CBACT04C.cbl
app/cbl/CBCUS01C.cbl,CBCUS01C,233dbc3bc33a3b9ac555922085a92be56e88d16316bff624b5723c4c36c99714,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,64,48,14,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/app/cbl/CBCUS01C.cbl
app/cbl/CBEXPORT.cbl,CBEXPORT,598e3c9055b96b79266910e080bc24048eb308ee61afc828c06dbade9f501d38,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.37.0,224,156,52,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/app/cbl/CBEXPORT.cbl
app/cbl/CBIMPORT.cbl,CBIMPORT,0eccb28695cb3a8ea6f6ea7da26d1b48a4529787f6130b2c98bead33bc661967,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.37.0,175,131,42,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/app/cbl/CBIMPORT.cbl
app/cbl/CBSTM03A.CBL,CBSTM03A,23c8753b6b4e0c24d4560c83861fe8162626bab195faec0fe88cf80b8bf432b5,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.37.0,424,171,235,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/app/cbl/CBSTM03A.CBL
app/cbl/CBSTM03B.CBL,CBSTM03B,ac004f7f40dcb3f2a14dfb83a743f83fed9383675bc93452f3424c40cb6475a7,PIPELINE_PARTIAL,,,PARTIAL,0,PARTIAL,0,PARTIAL,PARTIAL,2.37.0,53,23,17,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/app/cbl/CBSTM03B.CBL
app/cbl/CBTRN01C.cbl,CBTRN01C,55c2aebd59528aa42b28878ba5ca4d17a00b3548fc25e4ce1529710d366fd576,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.37.0,216,165,49,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/app/cbl/CBTRN01C.cbl
app/cbl/CBTRN02C.cbl,CBTRN02C,708f3cadc555acab63f11e2f3238f5372ac7180e6b01197bf960d96bf0d2e83f,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.37.0,339,249,80,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/app/cbl/CBTRN02C.cbl
app/cbl/CBTRN03C.cbl,CBTRN03C,8691e625502b7efcfd7ba4ae61797132e7b68f3fd5fedcdcc7dd6488f6871eef,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.37.0,315,230,77,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/app/cbl/CBTRN03C.cbl
app/cbl/COACTUPC.cbl,COACTUPC,b5bb7d6ccad022e0fc91b4dd1e971f49d184adf89b56abdce14eccff35b39396,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.35.0,1415,890,434,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/app/cbl/COACTUPC.cbl
app/cbl/COACTVWC.cbl,COACTVWC,4f1e55176f69edfb55b7af7a161aceb8c3bc3bd1b2924a704a76256e0e751b54,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.35.0,275,174,94,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/app/cbl/COACTVWC.cbl
app/cbl/COADM01C.cbl,COADM01C,4e49afda5f685f3ebeb95ed04a93cf88df93d39c66d8d7f9ba2b9a3e00a1f690,F5_STORAGE_INPUT_MISSING,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,80,64,13,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/app/cbl/COADM01C.cbl
app/cbl/COBIL00C.cbl,COBIL00C,b5c46039eb8fd2f7ed7d3ca379172e56fa87385a369023bef706b04986fe1cfb,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,190,149,30,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/app/cbl/COBIL00C.cbl
app/cbl/COBSWAIT.cbl,COBSWAIT,38a8d28235e58509776f5c8c74c113d5848a7ac68fab753c55ab887221c3b43a,PIPELINE_PARTIAL,,,PARTIAL,0,PARTIAL,0,PARTIAL,PARTIAL,2.35.0,4,2,2,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/app/cbl/COBSWAIT.cbl
app/cbl/COCRDLIC.cbl,COCRDLIC,d6a9210ad3062bd657881fc3f0d2a7368db3ff4869594e0d6a878d8f410d87b6,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.35.0,500,330,162,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/app/cbl/COCRDLIC.cbl
app/cbl/COCRDSLC.cbl,COCRDSLC,d5af307fb4b1a155f03df9eea14b402d866a332360e14a1e37dbefe59b73363b,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.35.0,263,161,95,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/app/cbl/COCRDSLC.cbl
app/cbl/COCRDUPC.cbl,COCRDUPC,c245cf383a4a3f721773a13ca231eb76bd5ae75c1830d58c7aba898a554a0de9,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.35.0,488,260,204,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/app/cbl/COCRDUPC.cbl
